abs,rel,p5no,3no,avg,break
56.42851822274916,1.754294298543284,0.0,0.0,-613.02,0.0016
50.4575959716312,1.5686655563382728,0.0,0.0,-644.35,0.0025000000000000005
40.44864640320467,1.2574994347508526,0.0,0.005,-670.58,0.004300000000000002
19.329796798598487,0.6009399747468589,0.08,0.235,-725.3,0.0696999999999999
60.175586600532895,1.8707861168371718,0.0,0.0,-579.8,0.0018
50.887978263079695,1.582045620601199,0.0,0.0,-637.32,0.0023
31.669539045806875,0.98456761820754,0.03,0.15,-734.13,0.006500000000000003
23.61289291223327,0.7340962462371353,0.12,0.31,-745.14,0.025799999999999986
55.792385823501604,1.7345177125852151,0.0,0.0,-611.49,0.0013999999999999998
48.55368664376768,1.5094753209039529,0.0,0.0,-629.89,0.002500000000000001
36.970328990066406,1.1493627584995834,0.005,0.03,-683.15,0.0038000000000000013
24.027706638074516,0.7469923026483316,0.17,0.345,-745.42,0.0235
32.16593605166807,1.0,0.025,0.125,-720.23,0.004800000000000003
