abs,rel,p5no,3no,avg,break
362.2744399617161,0.7897522089288426,0.85,0.85,-5253.7,0.0005
294.1383246010514,0.6412166191157663,0.945,0.945,-5324.53,0.0017499999999999998
276.8441867085114,0.6035156882866501,0.96,0.96,-5352.04,0.00125
208.1921083676833,0.4538553078221753,0.785,0.785,-5311.46,0.0095
381.78645587039,0.8322880766708736,0.9,0.9,-5340.21,0.00025
293.00426966532314,0.6387443983578439,0.96,0.96,-5346.11,0.0015
266.93739750695835,0.5819190538231596,0.965,0.965,-5348.15,0.00225
213.925849530308,0.466354767483441,0.9,0.9,-5329.83,0.01075
381.74420006901954,0.8321959597319145,0.905,0.905,-5320.56,0.0005
310.3180154783961,0.6764880741251761,0.965,0.965,-5327.6,0.0007500000000000001
246.70619384746072,0.5378153688348783,0.965,0.965,-5352.91,0.004
201.59175083631013,0.43946663899786376,0.865,0.865,-5328.66,0.01125
458.71912210676373,1.0,0.87,0.87,-5314.4,0.0
