abs,rel,p5no,3no,best,avg,break
142.7227485386867,0.8117540038066599,0.0,0.006,-9455.0,-8502.04,0.011579999999999849
151.19457559653358,0.8599386107048427,0.0,0.011,-9627.0,-8465.362,0.010649999999999878
160.407347583385,0.9123374372623155,0.0,0.008,-9535.0,-8530.278,0.00798999999999993
187.62096163119517,1.0671183701377158,0.0,0.0,-9335.0,-8031.302,0.0066199999999999384
203.85047084815167,1.1594257928966774,0.0,0.0,-9283.0,-7885.848,0.005639999999999953
232.69431538333927,1.3234788715148258,0.0,0.0,-9169.0,-7384.234,0.004799999999999965
241.42604254729946,1.3731416937212715,0.0,0.0,-8857.0,-7222.714,0.004649999999999965
265.19168670452865,1.5083118540159763,0.0,0.0,-8629.0,-6801.226,0.004609999999999973
291.8545213274273,1.6599601580150127,0.0,0.0,-8607.0,-6590.406,0.004279999999999976
305.48311738911997,1.7374745524098485,0.0,0.0,-8735.0,-6382.754,0.004229999999999973
322.4521858727503,1.83398831369523,0.0,0.0,-8275.0,-6068.136,0.004149999999999981
342.8118193364032,1.9497863497432564,0.0,0.0,-8001.0,-5855.166,0.004369999999999975
175.82019659822927,1.0,0.0,0.001,-9477.0,-8113.356,0.007319999999999936
