abs,rel,p5no,3no,avg,break
414.8612481792558,0.9043905697105422,0.825,0.825,-5267.42,0.00025
203.88826920718282,0.4444730105664294,0.765,0.765,-5288.29,0.0095
337.5312209898309,0.7358124061618535,0.93,0.93,-5332.67,0.001
395.8390318720024,0.8629224568926377,0.89,0.89,-5327.05,0.001
199.1925566550789,0.43423643588312894,0.83,0.83,-5328.03,0.00825
395.8815562749204,0.8630151593784697,0.82,0.82,-5278.28,0.0005
193.6012599410644,0.42204750273306685,0.82,0.82,-5320.61,0.00825
244.4611162427088,0.5329211372745263,0.91,0.91,-5322.81,0.00625
284.0841888134013,0.6192987715634899,0.94,0.94,-5323.2,0.0015
344.2971881595158,0.7505621012227675,0.935,0.935,-5328.27,0.00125
458.71912210676373,1.0,0.8,0.8,-5270.2,0.0005
