node,scale,point5no,3no,avgsol,chainbreak
0,1.5,195,227,-227.61,0.01
0,1.45,206,244,-228.914,0.025
0,1.4,177,211,-229.072,0.02
0,1.3499999999999999,232,294,-231.692,0.025
0,1.2999999999999998,227,265,-230.882,0.025
0,1.2499999999999998,247,292,-231.86,0.045
0,1.1999999999999997,248,306,-231.784,0.005
0,1.1499999999999997,313,375,-234.568,0.02
0,1.0999999999999996,270,306,-234.24,0.039999999999999994
0,1.0499999999999996,289,347,-234.802,0.02
0,0.9999999999999996,327,379,-235.47,0.01
0,0.9499999999999995,375,445,-236.6,0.05
0,0.8999999999999995,485,546,-238.116,0.06
0,0.8499999999999994,484,559,-238.82,0.039999999999999994
0,0.7999999999999994,443,494,-238.124,0.06
0,0.7499999999999993,456,514,-238.528,0.039999999999999994
0,0.6999999999999993,454,518,-238.59,0.095
0,0.6499999999999992,459,507,-238.656,0.16500000000000004
0,0.5999999999999992,599,639,-240.25,0.1800000000000001
0,0.5499999999999992,507,542,-238.378,0.17000000000000007
0,0.49999999999999917,496,531,-234.52,0.265
0,0.4499999999999992,562,581,-233.762,0.33000000000000007
0,0.3999999999999992,316,325,-220.994,0.29000000000000004
0,0.3499999999999992,61,64,-202.692,0.5050000000000001
0,0.2999999999999992,16,18,-194.016,0.68
0,0.24999999999999922,0,0,-171.476,1.0250000000000001
0,0.19999999999999923,0,0,-162.396,1.385
0,0.14999999999999925,0,0,-162.232,2.310000000000001
0,0.09999999999999924,0,0,-167.954,4.719999999999998
