node,scale,point5no,3no,avgsol,chainbreak
0,2.0,26,26,-4676.92,0.0
0,1.95,20,20,-4599.92,0.05
0,1.9,24,24,-4606.52,0.0
0,1.8499999999999999,27,27,-4708.22,0.0
0,1.7999999999999998,50,50,-5010.32,0.0
0,1.7499999999999998,37,37,-4816.1,0.0
0,1.6999999999999997,43,43,-5002.86,0.0
0,1.6499999999999997,51,51,-5056.66,0.0
0,1.5999999999999996,41,41,-4933.6,0.0
0,1.5499999999999996,56,56,-5107.84,0.0
0,1.4999999999999996,52,52,-5007.46,0.0
0,1.4499999999999995,63,63,-5130.54,0.0
0,1.3999999999999995,70,70,-5221.94,0.0
0,1.3499999999999994,70,70,-5230.96,0.0
0,1.2999999999999994,59,59,-5190.36,0.0
0,1.2499999999999993,77,77,-5281.12,0.0
0,1.1999999999999993,63,63,-5188.94,0.0
0,1.1499999999999992,77,77,-5276.16,0.05
0,1.0999999999999992,77,77,-5261.32,0.05
0,1.0499999999999992,79,79,-5305.14,0.0
0,0.9999999999999991,86,86,-5307.58,0.0
0,0.9499999999999991,81,81,-5282.46,0.1
0,0.899999999999999,85,85,-5317.64,0.0
0,0.849999999999999,91,91,-5335.34,0.05
0,0.7999999999999989,92,92,-5339.48,0.05
0,0.7499999999999989,87,87,-5328.54,0.1
0,0.6999999999999988,95,95,-5338.44,0.2
0,0.6499999999999988,97,97,-5345.64,0.2
0,0.5999999999999988,90,90,-5341.6,0.3
0,0.5499999999999987,73,73,-5312.02,0.5
0,0.4999999999999987,75,75,-5293.9,1.6500000000000001
0,0.44999999999999873,69,69,-5305.06,1.1500000000000001
0,0.39999999999999875,90,90,-5320.04,1.0
0,0.34999999999999876,98,98,-5355.52,0.65
0,0.29999999999999877,96,96,-5346.48,0.55
0,0.24999999999999878,69,69,-5178.84,1.15
0,0.1999999999999988,17,17,-4966.68,0.75
0,0.1499999999999988,3,3,-4840.1,2.1
0,0.0999999999999988,0,0,-4656.22,5.3500000000000005
