node,scale,point5no,3no,avgsol,chainbreak
0,1.5,115,251,-182.72,0.0
0,1.48,115,272,-183.326,0.0
0,1.46,130,286,-183.92,0.0
0,1.44,126,291,-184.114,0.0
0,1.42,131,291,-185.184,0.0
0,1.4,145,317,-186.41,0.004
0,1.38,145,310,-186.73,0.0
0,1.3599999999999999,168,340,-187.88,0.0
0,1.3399999999999999,174,358,-188.246,0.008
0,1.3199999999999998,156,330,-188.676,0.0
0,1.2999999999999998,199,403,-191.464,0.0
0,1.2799999999999998,203,412,-192.618,0.0
0,1.2599999999999998,212,432,-192.056,0.0
0,1.2399999999999998,213,451,-193.308,0.0
0,1.2199999999999998,216,433,-193.908,0.004
0,1.1999999999999997,237,474,-195.036,0.0
0,1.1799999999999997,239,463,-194.854,0.0
0,1.1599999999999997,241,495,-195.828,0.0
0,1.1399999999999997,280,531,-197.186,0.0
0,1.1199999999999997,267,489,-196.05,0.0
0,1.0999999999999996,277,531,-197.72,0.0
0,1.0799999999999996,302,556,-198.292,0.0
0,1.0599999999999996,285,581,-199.18,0.0
0,1.0399999999999996,334,596,-200.222,0.0
0,1.0199999999999996,336,617,-200.138,0.0
0,0.9999999999999996,342,636,-200.842,0.0
0,0.9799999999999995,366,650,-200.454,0.0
0,0.9599999999999995,367,648,-200.464,0.0
0,0.9399999999999995,355,655,-201.354,0.0
0,0.9199999999999995,407,695,-202.228,0.0
0,0.8999999999999995,425,729,-202.508,0.0
0,0.8799999999999994,416,720,-202.49,0.0
0,0.8599999999999994,411,714,-202.608,0.0
0,0.8399999999999994,435,751,-203.454,0.0
0,0.8199999999999994,440,745,-203.132,0.0
0,0.7999999999999994,491,774,-204.212,0.0
0,0.7799999999999994,502,816,-204.694,0.0
0,0.7599999999999993,506,819,-204.74,0.0
0,0.7399999999999993,537,842,-205.096,0.0
0,0.7199999999999993,538,834,-205.088,0.0
0,0.6999999999999993,550,842,-204.95,0.0
0,0.6799999999999993,565,845,-205.054,0.0
0,0.6599999999999993,590,869,-205.576,0.0
0,0.6399999999999992,614,894,-205.8,0.0
0,0.6199999999999992,614,896,-205.976,0.0
0,0.5999999999999992,658,919,-206.09,0.0
0,0.5799999999999992,673,922,-206.304,0.0
0,0.5599999999999992,680,928,-206.332,0.0
0,0.5399999999999991,713,940,-206.752,0.0
0,0.5199999999999991,724,945,-206.696,0.0
0,0.4999999999999991,727,935,-206.706,0.0
0,0.4799999999999991,777,959,-207.102,0.0
0,0.4599999999999991,785,970,-207.124,0.0
0,0.43999999999999906,793,973,-207.228,0.0
0,0.41999999999999904,802,976,-207.108,0.0
0,0.399999999999999,823,978,-207.36,0.0
0,0.379999999999999,824,982,-207.318,0.004
0,0.359999999999999,857,974,-207.324,0.004
0,0.33999999999999897,874,988,-207.478,0.0
0,0.31999999999999895,892,991,-207.6,0.004
0,0.29999999999999893,889,982,-207.36,0.008
0,0.2799999999999989,885,978,-207.272,0.08800000000000002
0,0.2599999999999989,363,986,-204.912,2.511999999999964
0,0.2399999999999989,119,974,-203.596,3.78799999999994
0,0.21999999999999892,91,965,-203.314,9.724000000000022
0,0.19999999999999893,54,968,-203.256,11.372000000000124
0,0.17999999999999894,15,960,-202.804,11.924000000000145
0,0.15999999999999895,2,948,-202.502,12.12000000000015
0,0.13999999999999896,1,948,-202.274,12.212000000000149
0,0.11999999999999895,0,924,-201.462,12.400000000000157
0,0.09999999999999895,0,900,-200.48,12.644000000000165
