node,scale,point5no,3no,avgsol,chainbreak
0,1.5,32,54,-203.14,0.0
0,1.45,44,63,-203.9,0.0
0,1.4,55,76,-205.94,0.0
0,1.3499999999999999,54,71,-205.54,0.1
0,1.2999999999999998,61,80,-206.16,0.0
0,1.2499999999999998,56,79,-206.04,0.0
0,1.1999999999999997,49,73,-204.88,0.0
0,1.1499999999999997,58,83,-206.5,0.0
0,1.0999999999999996,55,84,-206.52,0.0
0,1.0499999999999996,37,89,-206.46,0.0
0,0.9999999999999996,63,88,-207.26,0.05
0,0.9499999999999995,70,85,-207.74,0.0
0,0.8999999999999995,83,93,-208.84,0.0
0,0.8499999999999994,82,89,-208.68,0.0
0,0.7999999999999994,83,94,-208.74,0.05
0,0.7499999999999993,70,89,-208.1,0.0
0,0.6999999999999993,90,98,-209.52,0.0
0,0.6499999999999992,88,94,-209.08,0.05
0,0.5999999999999992,87,93,-208.88,0.05
0,0.5499999999999992,92,95,-209.4,0.0
0,0.49999999999999917,83,92,-208.08,0.1
0,0.4499999999999992,89,91,-207.92,0.25
0,0.3999999999999992,50,53,-199.48,0.3
0,0.3499999999999992,14,14,-188.2,0.2
0,0.2999999999999992,4,4,-179.92,0.45
0,0.24999999999999922,0,0,-169.16,0.7000000000000001
0,0.19999999999999923,0,0,-156.84,0.8999999999999999
0,0.14999999999999925,0,0,-151.32,0.8499999999999999
0,0.09999999999999924,0,0,-149.48,1.75
