node,scale,point5no,3no,avgsol,chainbreak
0,0.4658807751697934,48,48,-199.92,0.5399999999999989
1,0.6491026283684022,47,47,-203.224,0.4149999999999993
2,0.41294967113388825,50,50,-202.672,0.4299999999999994
3,0.5870367819374844,43,43,-203.118,0.499999999999999
4,0.20640753711741366,55,55,-204.012,0.4999999999999991
5,0.5203405226503064,47,47,-200.41,0.514999999999999
6,0.28186069554046345,57,57,-204.288,0.40499999999999936
7,0.6298236312032323,37,37,-200.732,0.4449999999999993
8,0.682554595010387,37,37,-200.908,0.4149999999999993
9,0.2762516676992082,73,73,-204.456,0.40499999999999947
10,0.7397003733882802,57,57,-203.33,0.40499999999999936
11,0.3516092065580223,56,56,-202.848,0.4249999999999994
12,0.0,43,43,-199.736,0.10500000000000002
13,0.0,41,41,-201.522,0.14000000000000007
14,0.49483865960020695,63,63,-204.308,0.5699999999999988
15,0.28186069554046345,49,49,-202.052,0.40999999999999953
16,0.3848960788934847,45,45,-200.636,0.5549999999999989
17,0.42559012338865465,46,46,-203.588,0.5599999999999988
18,0.0,51,51,-202.108,0.06
19,0.2790420885850588,60,60,-202.874,0.33999999999999964
