node,scale,point5no,3no,avgsol,chainbreak
0,0.10010587426148963,310,566,-199.15,0.09600000000000003
1,0.2170448966728076,291,566,-198.524,0.3360000000000002
2,0.2352166292404101,364,631,-201.064,0.2600000000000001
3,0.10010587426148963,329,622,-200.32,0.068
4,0.10010587426148963,353,610,-200.536,0.0
5,0.21272570322901874,293,558,-196.532,0.23200000000000012
6,0.10010587426148963,326,638,-199.946,0.036
7,0.10010587426148963,321,589,-198.606,0.14800000000000008
8,0.3277227574378037,335,699,-200.696,0.2600000000000001
9,0.10010587426148963,335,625,-199.77,0.0
10,0.27348915102221616,422,682,-200.922,0.19200000000000012
11,0.10010587426148963,483,680,-201.416,0.004
12,0.1962915140230253,358,706,-201.058,0.24000000000000013
13,0.232864462948006,411,662,-201.008,0.3320000000000002
14,0.12613920430197123,323,606,-200.472,0.24400000000000013
15,0.10010587426148963,328,630,-200.506,0.0
16,0.10010587426148963,351,608,-200.268,0.0
17,0.10010587426148963,359,670,-201.3,0.008
18,0.10010587426148963,392,695,-201.612,0.004
19,0.10010587426148963,355,646,-201.444,0.068
20,0.10010587426148963,335,640,-200.288,0.14400000000000007
21,0.10010587426148963,354,633,-200.454,0.0
22,0.10010587426148963,338,628,-200.318,0.0
23,0.10010587426148963,333,621,-200.434,0.0
24,0.20027702685748935,361,619,-200.504,0.24400000000000013
