node,scale,point5no,3no,avgsol,chainbreak
0,0.10026326180029003,30,67,-201.98,0.0
1,0.10026326180029003,30,66,-201.62,0.08
2,0.34412178667689963,31,64,-201.94,0.4799999999999999
3,0.10026326180029003,45,74,-204.02,0.08
4,0.10026326180029003,46,73,-203.84,0.0
5,0.10026326180029003,31,59,-201.98,0.12
6,0.10026326180029003,41,58,-201.8,0.0
7,0.10026326180029003,41,62,-203.12,0.08
8,0.32713583893125764,44,82,-204.78,0.39999999999999997
9,0.14512797498814956,45,72,-203.64,0.28
10,0.10026326180029003,28,68,-202.98,0.0
11,0.21097437700198307,51,84,-205.14,0.36
12,0.23371216679068899,45,82,-204.76,0.24000000000000002
13,0.11186921976891238,40,81,-204.02,0.28
14,0.10026326180029003,34,71,-202.96,0.0
15,0.10026326180029003,45,77,-203.98,0.12
16,0.12449887774525069,32,60,-202.5,0.39999999999999997
17,0.10520003708574666,38,70,-203.0,0.12
18,0.22084972912772838,36,68,-203.7,0.39999999999999997
19,0.10026326180029003,41,80,-204.76,0.16
20,0.10026326180029003,53,76,-204.4,0.0
21,0.10026326180029003,35,73,-203.46,0.08
22,0.10026326180029003,43,76,-203.98,0.08
23,0.10026326180029003,47,74,-203.6,0.04
24,0.10026326180029003,40,79,-203.78,0.0
