node,scale,point5no,3no,avgsol,chainbreak
0,0.6964132180495735,302,471,-199.8,0.22000000000000003
1,0.35516081470507305,344,506,-200.216,0.3199999999999997
2,0.36972963764972655,304,459,-199.958,0.3649999999999995
3,0.10010587426148963,303,485,-199.834,0.0
4,0.24983705645845267,310,504,-200.466,0.1750000000000001
5,0.5582661385478638,281,463,-199.244,0.31499999999999967
6,0.10010587426148963,312,507,-200.128,0.0
7,0.10010587426148963,306,461,-199.544,0.015000000000000003
8,0.10010587426148963,269,424,-198.87,0.015000000000000003
9,0.10010587426148963,314,487,-199.686,0.015000000000000003
10,0.10010587426148963,295,460,-199.004,0.039999999999999994
11,0.10010587426148963,303,461,-199.45,0.0
12,0.10010587426148963,365,502,-200.662,0.025
13,0.45660974774391455,333,453,-199.514,0.26999999999999985
14,0.29342272152521587,263,482,-199.696,0.2599999999999999
15,0.10010587426148963,285,462,-199.472,0.05499999999999999
16,0.4298890135238936,303,466,-199.08,0.21500000000000002
17,0.2847077732731954,306,471,-198.968,0.24999999999999992
18,0.10010587426148963,311,474,-199.766,0.045
19,0.10010587426148963,295,445,-199.466,0.0
