node,scale,point5no,3no,avgsol,chainbreak
0,0.3795972697857671,36,42,-195.86,0.39999999999999997
1,0.10155662183689511,61,85,-207.4,0.15000000000000002
2,0.10026326180029003,54,76,-206.02,0.0
3,0.1029596759242801,28,44,-203.48,0.25
4,0.10026326180029003,61,85,-206.82,0.0
5,0.10026326180029003,52,71,-204.66,0.25
6,0.3093531192480852,64,80,-207.12,0.1
7,0.10026326180029003,65,86,-207.48,0.05
8,0.10026326180029003,54,72,-206.02,0.0
9,0.10026326180029003,64,77,-206.76,0.0
10,0.10026326180029003,53,79,-206.56,0.0
11,0.16741767145199013,76,81,-207.82,0.25
12,0.14420606886545867,40,55,-197.54,0.3
13,0.32500282976021544,42,53,-205.12,0.2
14,0.10026326180029003,63,81,-206.64,0.0
15,0.10026326180029003,60,88,-207.74,0.0
16,0.10026326180029003,63,73,-205.98,0.15000000000000002
17,0.10026326180029003,77,87,-207.76,0.05
18,0.10026326180029003,43,77,-205.72,0.0
19,0.10026326180029003,69,82,-207.46,0.0
