node,scale,point5no,3no,avgsol,chainbreak
0,0.23053581831852593,1,1,-559.902,0.7799999999999949
1,0.5811664141181095,1,2,-553.952,0.8099999999999943
2,0.2904884943099637,0,2,-556.888,0.8199999999999944
3,0.40882017442254937,0,2,-560.442,0.8439999999999934
4,0.525596487525562,1,2,-558.642,0.8459999999999932
5,0.5048858887870696,0,2,-553.826,0.9259999999999922
6,0.5416850759668536,0,1,-556.798,0.8659999999999934
7,0.475340042005707,0,1,-556.612,0.8579999999999925
8,0.23053581831852593,0,3,-559.798,0.8699999999999924
9,0.36972963764972655,0,7,-554.094,0.8679999999999932
10,0.23759255478829303,0,2,-558.656,0.8179999999999943
11,0.4612219674180955,0,2,-558.264,0.8719999999999922
12,0.42559012338865465,0,3,-559.144,0.7299999999999949
13,0.24733868589386815,0,3,-559.194,0.8759999999999927
14,0.37723664692350434,0,1,-553.076,0.927999999999991
15,0.29342272152521587,0,2,-552.006,0.8439999999999938
16,0.4213342221547681,1,2,-554.668,0.8979999999999924
17,0.6111172395328651,0,3,-555.624,0.7819999999999954
18,0.30854447063465107,1,5,-556.124,0.7879999999999947
19,0.38878391807422696,0,0,-557.45,0.7679999999999944
20,0.44752321376381066,0,3,-560.746,0.6459999999999961
21,0.3277227574378037,0,2,-554.604,0.9579999999999911
22,0.40068465295154065,0,1,-556.77,0.933999999999992
23,0.6894490858690777,0,3,-552.212,0.8899999999999924
24,0.4658807751697934,0,2,-558.924,0.7959999999999946
25,0.2847077732731954,0,2,-559.126,0.9359999999999925
26,0.3516092065580223,0,1,-552.552,0.9059999999999929
27,0.7177305325982748,1,3,-555.782,1.0859999999999883
28,0.33103308832101386,0,2,-558.668,0.8379999999999933
29,0.5582661385478638,0,2,-551.364,0.9459999999999917
30,0.20230002712877712,0,2,-558.856,0.8159999999999934
31,0.2762516676992082,0,3,-553.568,0.9019999999999924
32,0.28758360936686406,0,3,-557.824,0.9399999999999915
33,0.38104711810454983,1,3,-560.314,0.9059999999999928
34,0.525596487525562,0,2,-553.934,0.8379999999999941
35,0.37346428045426927,0,8,-550.482,0.9039999999999921
36,0.48499137027416284,0,1,-553.34,0.8519999999999927
37,0.42559012338865465,1,1,-554.052,0.9319999999999913
38,0.39667780642202527,0,1,-557.052,0.9039999999999921
39,0.2790420885850588,1,5,-557.134,0.8779999999999923
40,0.3244455298634257,0,3,-552.666,0.863999999999993
41,0.7397003733882802,0,1,-554.49,0.8599999999999938
42,0.525596487525562,0,2,-557.194,0.817999999999995
43,0.34809311449244207,0,3,-558.516,0.7839999999999949
44,0.40068465295154065,0,0,-561.358,0.9539999999999911
45,0.6757290490602831,0,2,-556.392,0.8259999999999941
46,0.5203405226503064,1,4,-555.208,0.7299999999999955
47,0.3516092065580223,0,1,-556.99,0.8259999999999941
48,0.6622820409839835,0,1,-556.488,0.9639999999999913
49,0.34809311449244207,0,1,-559.054,0.9279999999999919
