node,scale,point5no,3no,avgsol,chainbreak
0,2.5,53,53,-4877.28,5.2
0,2.45,55,55,-4892.24,4.500000000000001
0,2.4000000000000004,76,76,-5221.6,2.25
0,2.3500000000000005,58,58,-5015.58,3.1999999999999997
0,2.3000000000000007,69,69,-5155.58,2.9499999999999997
0,2.250000000000001,57,57,-4943.6,4.65
0,2.200000000000001,66,66,-5004.96,5.1000000000000005
0,2.1500000000000012,49,49,-4890.44,4.450000000000001
0,2.1000000000000014,73,73,-5220.24,2.4000000000000004
0,2.0500000000000016,51,51,-4979.64,3.8000000000000003
0,2.0000000000000018,68,68,-5139.02,2.75
0,1.9500000000000017,54,54,-4958.7,4.25
0,1.9000000000000017,59,59,-5040.3,3.7500000000000004
0,1.8500000000000016,53,53,-4875.42,5.3999999999999995
0,1.8000000000000016,51,51,-4743.52,4.85
0,1.7500000000000016,44,44,-4938.44,3.9
0,1.7000000000000015,63,63,-4872.72,4.55
0,1.6500000000000015,61,61,-4880.78,5.35
0,1.6000000000000014,51,51,-4822.44,7.299999999999999
0,1.5500000000000014,29,29,-4677.68,5.85
0,1.5000000000000013,32,32,-4659.48,4.0
