node,scale,point5no,3no,avgsol,chainbreak
0,1.5,43,56,-235.36,1.1500000000000001
0,1.45,47,59,-237.38,0.7000000000000001
0,1.4,47,56,-237.72,0.75
0,1.3499999999999999,37,56,-236.82,0.75
0,1.2999999999999998,47,61,-239.04,0.5
0,1.2499999999999998,51,57,-237.38,1.6
0,1.1999999999999997,49,58,-237.56,0.8999999999999999
0,1.1499999999999997,62,67,-238.44,1.1500000000000001
0,1.0999999999999996,52,74,-237.48,1.5
0,1.0499999999999996,57,64,-235.58,2.25
0,0.9999999999999996,59,66,-237.56,1.9500000000000004
0,0.9499999999999995,65,73,-237.46,2.3500000000000005
0,0.8999999999999995,60,63,-227.82,4.6499999999999995
0,0.8499999999999994,62,64,-228.8,5.6000000000000005
0,0.7999999999999994,48,50,-209.04,7.449999999999999
0,0.7499999999999993,29,30,-202.2,8.100000000000001
0,0.6999999999999993,15,16,-189.54,6.900000000000002
0,0.6499999999999992,5,5,-172.12,5.550000000000002
0,0.5999999999999992,1,1,-170.32,5.4
0,0.5499999999999992,0,0,-164.98,5.749999999999998
0,0.49999999999999917,0,0,-165.48,5.099999999999999
0,0.4499999999999992,1,1,-175.52,6.699999999999998
0,0.3999999999999992,0,0,-179.9,14.45
0,0.3499999999999992,0,0,-175.6,15.9
0,0.2999999999999992,0,0,-157.2,15.099999999999996
0,0.24999999999999922,0,0,-146.28,16.449999999999996
0,0.19999999999999923,0,0,-144.24,28.3
0,0.14999999999999925,0,0,-147.54,31.8
0,0.09999999999999924,0,0,-141.04,31.75000000000001
