node,scale,point5no,3no,avgsol,chainbreak
0,1.5,516,665,-204.372,0.3300000000000001
0,1.48,527,667,-204.7,0.2450000000000001
0,1.46,523,663,-204.466,0.29000000000000015
0,1.44,516,657,-204.388,0.4000000000000002
0,1.42,517,655,-204.412,0.5549999999999996
0,1.4,536,686,-204.864,0.5149999999999998
0,1.38,536,688,-204.872,0.6099999999999994
0,1.3599999999999999,565,715,-205.26,0.6099999999999994
0,1.3399999999999999,528,698,-205.074,0.9349999999999984
0,1.3199999999999998,542,695,-204.968,0.9149999999999986
0,1.2999999999999998,511,697,-204.996,1.1299999999999981
0,1.2799999999999998,532,705,-205.004,1.3349999999999973
0,1.2599999999999998,562,746,-205.53,1.2649999999999977
0,1.2399999999999998,532,740,-205.208,1.4599999999999969
0,1.2199999999999998,536,741,-205.364,1.804999999999999
0,1.1999999999999997,534,768,-205.594,1.9450000000000014
0,1.1799999999999997,505,762,-205.338,2.2900000000000054
0,1.1599999999999997,523,786,-205.62,2.4450000000000083
0,1.1399999999999997,460,743,-204.898,2.6900000000000115
0,1.1199999999999997,470,787,-205.436,3.2600000000000184
0,1.0999999999999996,465,786,-205.306,3.3550000000000204
0,1.0799999999999996,414,767,-204.874,3.955000000000026
0,1.0599999999999996,375,758,-204.468,4.4950000000000285
0,1.0399999999999996,376,759,-204.468,4.640000000000027
0,1.0199999999999996,333,768,-204.204,5.485000000000033
0,0.9999999999999996,289,776,-204.062,6.0350000000000374
0,0.9799999999999995,270,753,-203.472,6.635000000000022
0,0.9599999999999995,235,762,-203.388,7.534999999999995
0,0.9399999999999995,194,743,-202.476,8.52999999999997
0,0.9199999999999995,146,752,-202.178,9.504999999999946
0,0.8999999999999995,113,732,-201.452,10.524999999999956
0,0.8799999999999994,93,726,-200.986,11.759999999999962
0,0.8599999999999994,72,718,-200.584,12.574999999999976
0,0.8399999999999994,46,700,-199.982,14.025000000000043
0,0.8199999999999994,29,664,-198.704,15.060000000000068
0,0.7999999999999994,25,674,-198.732,15.830000000000092
0,0.7799999999999994,10,629,-197.546,16.895000000000117
0,0.7599999999999993,1,595,-196.62,17.73500000000014
0,0.7399999999999993,0,572,-195.92,18.29500000000015
0,0.7199999999999993,1,534,-194.868,18.935000000000148
0,0.6999999999999993,0,512,-194.452,19.150000000000137
0,0.6799999999999993,0,472,-193.362,19.625000000000135
0,0.6599999999999993,0,437,-192.568,19.985000000000124
0,0.6399999999999992,0,406,-191.63,20.355000000000107
0,0.6199999999999992,0,340,-189.942,20.975000000000097
0,0.5999999999999992,0,291,-188.756,21.460000000000086
0,0.5799999999999992,0,293,-188.566,21.645000000000074
0,0.5599999999999992,0,230,-186.904,22.175000000000068
0,0.5399999999999991,0,197,-186.024,22.65500000000006
0,0.5199999999999991,0,165,-185.044,23.04000000000005
0,0.4999999999999991,0,128,-183.722,23.580000000000044
0,0.4799999999999991,0,117,-183.23,23.845000000000063
0,0.4599999999999991,0,75,-182.198,24.195000000000043
0,0.43999999999999906,0,70,-181.456,24.470000000000045
0,0.41999999999999904,0,56,-180.996,24.69000000000006
0,0.399999999999999,0,31,-179.98,25.13000000000006
0,0.379999999999999,0,27,-179.234,25.370000000000086
0,0.359999999999999,0,26,-178.786,25.590000000000085
0,0.33999999999999897,0,14,-177.75,25.895000000000103
0,0.31999999999999895,0,11,-176.958,26.170000000000122
0,0.29999999999999893,0,4,-176.872,26.300000000000132
0,0.2799999999999989,0,5,-176.472,26.375000000000124
0,0.2599999999999989,0,1,-175.326,26.78000000000016
0,0.2399999999999989,0,3,-175.178,26.84500000000017
0,0.21999999999999892,0,0,-174.564,26.99000000000019
0,0.19999999999999893,0,0,-174.37,27.035000000000203
0,0.17999999999999894,0,0,-173.912,27.150000000000215
0,0.15999999999999895,0,0,-173.638,27.13500000000023
0,0.13999999999999896,0,0,-173.194,27.305000000000245
0,0.11999999999999895,0,0,-172.604,27.800000000000296
0,0.09999999999999895,0,0,-172.446,27.97000000000031
