node,scale,point5no,3no,avgsol,chainbreak
0,1.5,43,43,-197.08,0.005
0,1.48,41,41,-198.358,0.005
0,1.46,55,55,-200.164,0.005
0,1.44,65,65,-200.136,0.005
0,1.42,50,50,-198.674,0.005
0,1.4,61,61,-201.822,0.015000000000000003
0,1.38,54,54,-200.952,0.045
0,1.3599999999999999,64,64,-201.338,0.03
0,1.3399999999999999,51,51,-202.36,0.034999999999999996
0,1.3199999999999998,63,63,-203.964,0.03
0,1.2999999999999998,72,72,-204.976,0.039999999999999994
0,1.2799999999999998,70,70,-205.564,0.049999999999999996
0,1.2599999999999998,76,76,-206.588,0.06
0,1.2399999999999998,78,78,-207.364,0.06
0,1.2199999999999998,98,98,-208.828,0.08000000000000002
0,1.1999999999999997,87,87,-206.884,0.039999999999999994
0,1.1799999999999997,109,109,-210.904,0.07
0,1.1599999999999997,104,104,-210.098,0.07500000000000001
0,1.1399999999999997,106,106,-211.722,0.07
0,1.1199999999999997,102,102,-210.866,0.08500000000000002
0,1.0999999999999996,110,110,-211.572,0.08500000000000002
0,1.0799999999999996,99,99,-211.126,0.12000000000000004
0,1.0599999999999996,144,144,-214.012,0.20500000000000007
0,1.0399999999999996,133,133,-214.144,0.6949999999999983
0,1.0199999999999996,126,126,-214.146,0.794999999999998
0,0.9999999999999996,127,127,-215.462,0.7549999999999981
0,0.9799999999999995,157,157,-215.878,0.8599999999999988
0,0.9599999999999995,154,154,-217.62,0.9149999999999995
0,0.9399999999999995,153,153,-218.386,0.8699999999999989
0,0.9199999999999995,164,164,-217.392,1.045000000000001
0,0.8999999999999995,169,169,-219.02,1.110000000000002
0,0.8799999999999994,194,194,-221.154,1.0450000000000013
0,0.8599999999999994,193,193,-219.996,1.1850000000000032
0,0.8399999999999994,209,209,-220.372,1.255000000000004
0,0.8199999999999994,226,226,-221.06,1.410000000000006
0,0.7999999999999994,207,207,-221.402,1.6700000000000077
0,0.7799999999999994,245,245,-223.622,1.600000000000008
0,0.7599999999999993,243,243,-223.214,1.7750000000000097
0,0.7399999999999993,240,240,-223.094,1.970000000000012
0,0.7199999999999993,273,273,-224.416,2.0400000000000116
0,0.6999999999999993,270,270,-224.112,2.6950000000000194
0,0.6799999999999993,266,266,-223.92,3.585000000000013
0,0.6599999999999993,265,265,-224.896,4.134999999999995
0,0.6399999999999992,273,273,-223.394,4.494999999999994
0,0.6199999999999992,281,281,-223.676,4.7449999999999966
0,0.5999999999999992,274,274,-222.644,5.324999999999984
0,0.5799999999999992,268,268,-221.974,5.714999999999977
0,0.5599999999999992,237,237,-220.516,7.044999999999969
0,0.5399999999999991,214,214,-219.182,7.4749999999999615
0,0.5199999999999991,179,179,-217.39,8.21499999999995
0,0.4999999999999991,145,145,-215.07,8.804999999999943
0,0.4799999999999991,102,102,-211.438,9.764999999999947
0,0.4599999999999991,75,75,-206.49,10.87999999999994
0,0.43999999999999906,30,30,-202.644,12.194999999999911
0,0.41999999999999904,19,19,-198.96,14.064999999999921
0,0.399999999999999,10,10,-193.82,18.710000000000047
0,0.379999999999999,1,1,-187.596,21.145000000000152
0,0.359999999999999,3,3,-184.596,23.01000000000013
0,0.33999999999999897,5,5,-178.752,25.195000000000157
0,0.31999999999999895,7,7,-172.358,28.380000000000024
0,0.29999999999999893,6,6,-167.868,33.550000000000104
0,0.2799999999999989,2,2,-165.01,37.37000000000007
0,0.2599999999999989,7,7,-159.264,40.69999999999992
0,0.2399999999999989,1,1,-157.112,42.594999999999835
0,0.21999999999999892,1,1,-155.678,44.28499999999981
0,0.19999999999999893,1,1,-156.1,46.71499999999978
0,0.17999999999999894,0,0,-158.378,47.33999999999973
0,0.15999999999999895,0,0,-160.1,52.910000000000274
0,0.13999999999999896,0,0,-160.806,53.835000000000285
0,0.11999999999999895,0,0,-164.618,54.51000000000018
0,0.09999999999999895,0,0,-166.702,55.135000000000105
